Symbol|Name|LastSale|MarketCap|ADR TSO|IPOyear|Sector|Industry|Summary Quote,
AWP|Aberdeen Global Premier Properties Fund|5.56|474868207.56|n/a|2007|n/a|n/a|https://www.nasdaq.com/symbol/awp,
ACP|Aberdeen Income Credit Strategies Fund|11.28|147475532.16|n/a|2011|n/a|n/a|https://www.nasdaq.com/symbol/acp,
JEQ|Aberdeen Japan Equity Fund, Inc. |6.71|89840673.12|n/a|1992|n/a|n/a|https://www.nasdaq.com/symbol/jeq,
AOD|Aberdeen Total Dynamic Dividend Fund|7.99|859670778.61|n/a|2007|n/a|n/a|https://www.nasdaq.com/symbol/aod,
ABM|ABM Industries Incorporated|33.86|2235758158.94|n/a|n/a|Finance|Diversified Commercial Services|https://www.nasdaq.com/symbol/abm,
AKR|Acadia Realty Trust|27.7|2259025717.5|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/akr,
ACN|Accenture plc|152.24|97244701673.68|n/a|2001|Miscellaneous|Business Services|https://www.nasdaq.com/symbol/acn,
ACCO|Acco Brands Corporation|8.79|903081479.55|n/a|n/a|Consumer Durables|Publishing|https://www.nasdaq.com/symbol/acco,
ATV|Acorn International, Inc.|22.78|61053589.2|n/a|2007|Consumer Services|Other Specialty Stores|https://www.nasdaq.com/symbol/atv,
ATU|Actuant Corporation|22.11|1351470079.74|n/a|n/a|Technology|Industrial Machinery/Components|https://www.nasdaq.com/symbol/atu,
AYI|Acuity Brands, Inc. |118.67|4734029565.29|n/a|n/a|Consumer Durables|Building Products|https://www.nasdaq.com/symbol/ayi,
GOLF|Acushnet Holdings Corp.|23.02|1720976627.24|n/a|2016|Consumer Non-Durables|Recreational Products/Toys|https://www.nasdaq.com/symbol/golf,
ADX|Adams Diversified Equity Fund, Inc.|13.48|1359706679.04|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/adx,
PEO|Adams Natural Resources Fund, Inc.|15.82|458711135.54|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/peo,
AGRO|Adecoagro S.A.|7.12|829873251.84|n/a|2011|Consumer Non-Durables|Farming/Seeds/Milling|https://www.nasdaq.com/symbol/agro,
ADNT|Adient plc|19.24|1796932536.88|n/a|2016|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/adnt,
ADT|ADT Inc.|7.03|5391159798.83|n/a|2018|Consumer Services|Diversified Commercial Services|https://www.nasdaq.com/symbol/adt,
ATGE|Adtalem Global Education Inc.|49.22|2891428900|n/a|n/a|Consumer Services|Other Consumer Services|https://www.nasdaq.com/symbol/atge,
AAP|Advance Auto Parts Inc|154.86|11288321324.34|n/a|n/a|Consumer Services|Other Specialty Stores|https://www.nasdaq.com/symbol/aap,
ADSW|Advanced Disposal Services, Inc.|24.58|2179296351.7|n/a|2016|Public Utilities|Environmental Services|https://www.nasdaq.com/symbol/adsw,
WMS|Advanced Drainage Systems, Inc.|24.32|1389578576.64|n/a|2014|Capital Goods|Containers/Packaging|https://www.nasdaq.com/symbol/wms,
ASIX|AdvanSix Inc.|30.2|900046613.6|n/a|2016|Basic Industries|Major Chemicals|https://www.nasdaq.com/symbol/asix,
AVK|Advent Claymore Convertible Securities and Income Fund|13.77|475412306.94|n/a|2003|n/a|n/a|https://www.nasdaq.com/symbol/avk,
ACM|AECOM|30.2|4721219725.8|n/a|2007|Consumer Services|Military/Government/Technical|https://www.nasdaq.com/symbol/acm,
AEB|Aegon NV|21.3|0|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aeb,
AED|Aegon NV|25.75|0|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aed,
AEG|Aegon NV|5.17|10443944442.36|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aeg,
AEH|Aegon NV|25.65|0|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aeh,
AER|Aercap Holdings N.V.|46.86|6886596068.22|n/a|2006|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/aer,
HIVE|Aerohive Networks, Inc.|3.75|208332825|n/a|2014|Technology|EDP Services|https://www.nasdaq.com/symbol/hive,
AJRD|Aerojet Rocketdyne Holdings, Inc. |38.93|3048219000|n/a|n/a|Capital Goods|Military/Government/Technical|https://www.nasdaq.com/symbol/ajrd,
AMG|Affiliated Managers Group, Inc.|109.87|5787169874.95|n/a|n/a|Finance|Investment Managers|https://www.nasdaq.com/symbol/amg,
AFL|Aflac Incorporated|47.35|36046576985.75|n/a|n/a|Finance|Accident &Health Insurance|https://www.nasdaq.com/symbol/afl,
MITT|AG Mortgage Investment Trust, Inc.|17.65|507323251.55|n/a|2011|n/a|n/a|https://www.nasdaq.com/symbol/mitt,
MITT^A|AG Mortgage Investment Trust, Inc.|25.17|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/mitt^a,
MITT^B|AG Mortgage Investment Trust, Inc.|25.18|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/mitt^b,
AGCO|AGCO Corporation|62.02|4855184285.42|n/a|n/a|Capital Goods|Industrial Machinery/Components|https://www.nasdaq.com/symbol/agco,
A|Agilent Technologies, Inc.|73.27|23338916866.58|n/a|1999|Capital Goods|Biotechnology: Laboratory Analytical Instruments|https://www.nasdaq.com/symbol/a,
AEM|Agnico Eagle Mines Limited|41.52|9740856067.2|n/a|n/a|Basic Industries|Precious Metals|https://www.nasdaq.com/symbol/aem,
ADC|Agree Realty Corporation|63.62|2388218964.96|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/adc,
AL|Air Lease Corporation|37.13|4118979494.26|n/a|2011|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/al,
APD|Air Products and Chemicals, Inc.|159.89|35103711195.15|n/a|n/a|Basic Industries|Major Chemicals|https://www.nasdaq.com/symbol/apd,
AYR|Aircastle Limited|20.39|1554276176.25|n/a|2006|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/ayr,
AKS|AK Steel Holding Corporation|2.7|851963305.5|n/a|n/a|Basic Industries|Steel/Iron Ore|https://www.nasdaq.com/symbol/aks,
ALP^Q|Alabama Power Company|24.99|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/alp^q,
ALG|Alamo Group, Inc.|85.51|1003483279.74|n/a|n/a|Capital Goods|Industrial Machinery/Components|https://www.nasdaq.com/symbol/alg,
AGI|Alamos Gold Inc.|4.26|1666725864.78|n/a|2015|Basic Industries|Precious Metals|https://www.nasdaq.com/symbol/agi,
ALK|Alaska Air Group, Inc.|64.53|7956542224.35|n/a|n/a|Transportation|Air Freight/Delivery Services|https://www.nasdaq.com/symbol/alk,
AIN|Albany International Corporation|66.47|2140334000|n/a|n/a|Basic Industries|Textiles|https://www.nasdaq.com/symbol/ain,
ALB|Albemarle Corporation|77.09|8187411674.65|n/a|n/a|Basic Industries|Major Chemicals|https://www.nasdaq.com/symbol/alb,
AA|Alcoa Corporation|27.98|5169871567.02|n/a|2016|Basic Industries|Aluminum|https://www.nasdaq.com/symbol/aa,
ALEX|Alexander & Baldwin, Inc.|22.68|1633574832.12|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/alex,
ALX|Alexander&#39;s, Inc.|323.87|1654098012.3|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/alx,
ARE|Alexandria Real Estate Equities, Inc.|126.27|13577383908.27|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/are,
ARE^D|Alexandria Real Estate Equities, Inc.|34.75|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/are^d,
AQN|Algonquin Power & Utilities Corp.|10.82|5289372505.06|n/a|2016|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/aqn,
AQNA|Algonquin Power & Utilities Corp.|25.92|0|n/a|2018|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/aqna,
BABA|Alibaba Group Holding Limited|158.92|411949922281.36|n/a|2014|Miscellaneous|Business Services|https://www.nasdaq.com/symbol/baba,
Y|Alleghany Corporation|616.49|9146597655.79|n/a|n/a|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/y,
ATI|Allegheny Technologies Incorporated|26.54|3335663869.84|n/a|n/a|Basic Industries|Steel/Iron Ore|https://www.nasdaq.com/symbol/ati,
ALLE|Allegion plc|84.28|8011299705.64|n/a|2013|Consumer Services|Diversified Commercial Services|https://www.nasdaq.com/symbol/alle,
AGN|Allergan plc.|158.69|53523907722.88|n/a|2013|Health Care|Major Pharmaceuticals|https://www.nasdaq.com/symbol/agn,
ALE|Allete, Inc.|74.38|3825306276.16|n/a|n/a|Public Utilities|Power Generation|https://www.nasdaq.com/symbol/ale,
AKP|Alliance California Municipal Income Fund Inc|13.65|116771218.2|n/a|2002|n/a|n/a|https://www.nasdaq.com/symbol/akp,
ADS|Alliance Data Systems Corporation|178.76|9737686792.72|n/a|2001|Miscellaneous|Business Services|https://www.nasdaq.com/symbol/ads,
AFB|Alliance National Municipal Income Fund Inc|12.57|361323845.52|n/a|2002|n/a|n/a|https://www.nasdaq.com/symbol/afb,
AWF|Alliance World Dollar Government Fund II|11.19|964910085.63|n/a|1993|n/a|n/a|https://www.nasdaq.com/symbol/awf,
AB|AllianceBernstein Holding L.P.|30.32|2918996268.48|n/a|n/a|Finance|Investment Managers|https://www.nasdaq.com/symbol/ab,
CBH|AllianzGI Convertible & Income 2024 Target Term Fund|8.81|160844275.72|n/a|2017|n/a|n/a|https://www.nasdaq.com/symbol/cbh,
NCV|AllianzGI Convertible & Income Fund|6.02|539028620.76|n/a|2003|n/a|n/a|https://www.nasdaq.com/symbol/ncv,
NCV^A|AllianzGI Convertible & Income Fund|24.29|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/ncv^a,
NCZ|AllianzGI Convertible & Income Fund II|5.28|398737004.16|n/a|2003|n/a|n/a|https://www.nasdaq.com/symbol/ncz,
NCZ^A|AllianzGI Convertible & Income Fund II|23.6|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/ncz^a,
ACV|AllianzGI Diversified Income & Convertible Fund|20.79|214373694.15|n/a|2015|n/a|n/a|https://www.nasdaq.com/symbol/acv,
NIE|AllianzGI Equity & Convertible Income Fund|20.06|555841837.9|n/a|2007|n/a|n/a|https://www.nasdaq.com/symbol/nie,
NFJ|AllianzGI NFJ Dividend, Interest & Premium Strategy Fund|11.64|1103490402.84|n/a|2005|Finance|Finance: Consumer Services|https://www.nasdaq.com/symbol/nfj,
ALSN|Allison Transmission Holdings, Inc.|48.19|6247266785.6|n/a|2012|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/alsn,
ALL|Allstate Corporation (The)|86.49|29790811932.3|n/a|n/a|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/all,
ALL^A|Allstate Corporation (The)|25.47|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/all^a,
ALL^B|Allstate Corporation (The)|24.95|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/all^b,
ALL^D|Allstate Corporation (The)|25.47|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/all^d,
ALL^E|Allstate Corporation (The)|25.32|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/all^e,
ALL^F|Allstate Corporation (The)|25.59|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/all^f,
ALL^G|Allstate Corporation (The)|24.88|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/all^g,
ALLY|Ally Financial Inc.|25.84|10674031980.72|n/a|2014|Finance|Major Banks|https://www.nasdaq.com/symbol/ally,
ALLY^A|Ally Financial Inc.|26.05|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/ally^a,
AYX|Alteryx, Inc.|70.03|4298666756.54|n/a|2017|Technology|Computer Software: Prepackaged Software|https://www.nasdaq.com/symbol/ayx,
ATUS|Altice USA, Inc.|19.14|13687021866.54|n/a|2017|Consumer Services|Television Services|https://www.nasdaq.com/symbol/atus,
MO|Altria Group|45.3|85120760289.3|n/a|n/a|Consumer Non-Durables|Farming/Seeds/Milling|https://www.nasdaq.com/symbol/mo,
ACH|Aluminum Corporation of China Limited|9.1|5424982553.9|n/a|2001|Basic Industries|Aluminum|https://www.nasdaq.com/symbol/ach,
AMBR|Amber Road, Inc.|8.45|234844377.3|n/a|2014|Technology|Computer Software: Prepackaged Software|https://www.nasdaq.com/symbol/ambr,
ABEV|Ambev S.A.|4.73|74360892907.84|n/a|2013|Consumer Non-Durables|Beverages (Production/Distribution)|https://www.nasdaq.com/symbol/abev,
AMC|AMC Entertainment Holdings, Inc.|14.01|1450233885.96|n/a|2013|Consumer Services|Movies/Entertainment|https://www.nasdaq.com/symbol/amc,
AEE|Ameren Corporation|67.66|16529053286.72|n/a|n/a|Public Utilities|Power Generation|https://www.nasdaq.com/symbol/aee,
AMRC|Ameresco, Inc.|14.63|672637145.95|n/a|2010|Basic Industries|Engineering & Construction|https://www.nasdaq.com/symbol/amrc,
AMOV|America Movil, S.A.B. de C.V.|15.66|51703363343.16|n/a|n/a|Public Utilities|Telecommunications Equipment|https://www.nasdaq.com/symbol/amov,
AMX|America Movil, S.A.B. de C.V.|15.85|52330671072.1|n/a|n/a|Public Utilities|Telecommunications Equipment|https://www.nasdaq.com/symbol/amx,
AAT|American Assets Trust, Inc.|41.74|1971051330.54|n/a|2011|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/aat,
AXL|American Axle & Manufacturing Holdings, Inc.|14.43|1611854102.43|n/a|n/a|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/axl,
ACC|American Campus Communities Inc|45.24|6199304517.12|n/a|2004|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/acc,
AEO|American Eagle Outfitters, Inc.|21.07|3717426285.44|n/a|n/a|Consumer Services|Clothing/Shoe/Accessory Stores|https://www.nasdaq.com/symbol/aeo,
AEP|American Electric Power Company, Inc.|76.85|37895413354.95|n/a|n/a|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/aep,
AEL|American Equity Investment Life Holding Company|30.94|2795216225.62|n/a|2003|Finance|Life Insurance|https://www.nasdaq.com/symbol/ael,
AXP|American Express Company|100.38|85750799785.14|n/a|n/a|Finance|Finance: Consumer Services|https://www.nasdaq.com/symbol/axp,
AFG|American Financial Group, Inc.|94.57|8440673516.31|n/a|n/a|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/afg,
AFGE|American Financial Group, Inc.|25.95|0|n/a|2014|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/afge,
AFGH|American Financial Group, Inc.|26|0|n/a|2015|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/afgh,
AMH|American Homes 4 Rent|21.77|6455486270.38|n/a|2013|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/amh,
AMH^D|American Homes 4 Rent|24.4|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/amh^d,
AMH^E|American Homes 4 Rent|23.48|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/amh^e,
AMH^F|American Homes 4 Rent|22.03|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/amh^f,
AMH^G|American Homes 4 Rent|22.08|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/amh^g,
AMH^H|American Homes 4 Rent|23.3301|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/amh^h,
AIG|American International Group, Inc.|42.82|37880647485.4|n/a|n/a|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/aig,
AIG.WS|American International Group, Inc.|n/a|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/aig.ws,
AMID|American Midstream Partners, LP|4.5|242172648|n/a|2011|Public Utilities|Natural Gas Distribution|https://www.nasdaq.com/symbol/amid,
ARL|American Realty Investors, Inc.|13.13|210041607.88|n/a|n/a|Finance|Real Estate|https://www.nasdaq.com/symbol/arl,
ARA|American Renal Associates Holdings, Inc|12.12|394106827.8|n/a|2016|Health Care|Hospital/Nursing Management|https://www.nasdaq.com/symbol/ara,
AWR|American States Water Company|65.18|2395041642.02|n/a|n/a|Public Utilities|Water Supply|https://www.nasdaq.com/symbol/awr,
AMT|American Tower Corporation (REIT)|168.05|74023985041.05|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/amt,
AVD|American Vanguard Corporation|17.17|520594571.7|n/a|n/a|Basic Industries|Agricultural Chemicals|https://www.nasdaq.com/symbol/avd,
AWK|American Water Works|93.02|16799299817.88|n/a|2008|Public Utilities|Water Supply|https://www.nasdaq.com/symbol/awk,
COLD|Americold Realty Trust|28.2|4169703888|n/a|2018|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cold,
APU|AmeriGas Partners, L.P.|29.9|2780014452.8|n/a|n/a|Consumer Services|Other Specialty Stores|https://www.nasdaq.com/symbol/apu,
AMP|AMERIPRISE FINANCIAL SERVICES, INC.|121.79|16972211693.35|n/a|n/a|Finance|Investment Managers|https://www.nasdaq.com/symbol/amp,
ABC|AmerisourceBergen Corporation (Holding Co)|80.12|16907354567.28|n/a|n/a|Health Care|Other Pharmaceuticals|https://www.nasdaq.com/symbol/abc,
ANFI|Amira Nature Foods Ltd|0.9059|34345816.0966|n/a|2012|Consumer Non-Durables|Packaged Foods|https://www.nasdaq.com/symbol/anfi,
AMN|AMN Healthcare Services Inc|63.97|2998138091.69|n/a|n/a|Technology|Professional Services|https://www.nasdaq.com/symbol/amn,
AMRX|Amneal Pharmaceuticals, Inc.|12.29|3669389929.38|n/a|2018|n/a|n/a|https://www.nasdaq.com/symbol/amrx,
AP|Ampco-Pittsburgh Corporation|3.56|44481651.76|n/a|n/a|Capital Goods|Fluid Controls|https://www.nasdaq.com/symbol/ap,
APH|Amphenol Corporation|85.75|25838802083.5|n/a|n/a|Capital Goods|Electrical Products|https://www.nasdaq.com/symbol/aph,
AXR|AMREP Corporation|6.53|53075213.12|n/a|n/a|Consumer Services|Newspapers/Magazines|https://www.nasdaq.com/symbol/axr,
AME|AMTEK, Inc.|70.15|16282935435.8|n/a|n/a|Consumer Durables|Metal Fabrications|https://www.nasdaq.com/symbol/ame,
AFSI^A|AmTrust Financial Services, Inc.|7.4632|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/afsi^a,
AFSI^B|AmTrust Financial Services, Inc.|7.78|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/afsi^b,
AFSI^C|AmTrust Financial Services, Inc.|8.41|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/afsi^c,
AFSI^D|AmTrust Financial Services, Inc.|8.0299|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/afsi^d,
AFSI^E|AmTrust Financial Services, Inc.|8.3|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/afsi^e,
AFSI^F|AmTrust Financial Services, Inc.|7.85|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/afsi^f,
AFSS|AmTrust Financial Services, Inc.|14.99|0|n/a|2015|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/afss,
AFST|AmTrust Financial Services, Inc.|15.25|0|n/a|2015|Finance|Property-Casualty Insurers|https://www.nasdaq.com/symbol/afst,
APC|Anadarko Petroleum Corporation|46.45|23423847897.9|n/a|n/a|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/apc,
PLAN|Anaplan, Inc.|30.75|3842648934.75|n/a|2018|Technology|Computer Software: Prepackaged Software|https://www.nasdaq.com/symbol/plan,
ANDX|Andeavor Logistics LP|35.68|8758870796.96|n/a|2011|Energy|Natural Gas Distribution|https://www.nasdaq.com/symbol/andx,
AU|AngloGold Ashanti Limited|13.54|5573217178.02|n/a|n/a|Basic Industries|Precious Metals|https://www.nasdaq.com/symbol/au,
BUD|Anheuser-Busch Inbev SA|73.68|144154920000|n/a|n/a|Consumer Non-Durables|Beverages (Production/Distribution)|https://www.nasdaq.com/symbol/bud,
AXE|Anixter International Inc.|60.72|2033017689.12|n/a|n/a|Consumer Non-Durables|Telecommunications Equipment|https://www.nasdaq.com/symbol/axe,
NLY|Annaly Capital Management Inc|10.33|14464740796.92|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/nly,
NLY^C|Annaly Capital Management Inc|25.21|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/nly^c,
NLY^D|Annaly Capital Management Inc|25.14|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/nly^d,
NLY^F|Annaly Capital Management Inc|25.11|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/nly^f,
NLY^G|Annaly Capital Management Inc|23.73|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/nly^g,
NLY^H|Annaly Capital Management Inc|25.44|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/nly^h,
AMGP|Antero Midstream GP LP|13.37|2489973247.65|n/a|2017|Public Utilities|Natural Gas Distribution|https://www.nasdaq.com/symbol/amgp,
AM|Antero Midstream Partners LP|25.24|4721152146.48|n/a|2014|Public Utilities|Natural Gas Distribution|https://www.nasdaq.com/symbol/am,
AR|Antero Resources Corporation|10.26|3160233192.06|n/a|2013|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/ar,
ANTM|Anthem, Inc.|270.01|69835952070.95|n/a|n/a|Health Care|Medical Specialities|https://www.nasdaq.com/symbol/antm,
ANH|Anworth Mortgage Asset  Corporation|4.42|435212767.34|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/anh,
ANH^A|Anworth Mortgage Asset  Corporation|25.85|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/anh^a,
ANH^B|Anworth Mortgage Asset  Corporation|24.25|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/anh^b,
ANH^C|Anworth Mortgage Asset  Corporation|24.5|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/anh^c,
AON|Aon plc|153.67|37010514998.38|n/a|n/a|Finance|Specialty Insurers|https://www.nasdaq.com/symbol/aon,
APA|Apache Corporation|32.29|12255464200.18|n/a|n/a|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/apa,
AIV|Apartment Investment and Management Company|48.7|7579874780.2|n/a|1994|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/aiv,
AIV^A|Apartment Investment and Management Company|25.7|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/aiv^a,
APY|Apergy Corporation|33.99|2628814811.7|n/a|2018|Technology|Industrial Machinery/Components|https://www.nasdaq.com/symbol/apy,
APHA|Aphria Inc.|7.37|1840748069.93|n/a|n/a|Consumer Durables|Specialty Chemicals|https://www.nasdaq.com/symbol/apha,
ARI|Apollo Commercial Real Estate Finance|17.77|2378577850.05|n/a|2009|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/ari,
ARI^C|Apollo Commercial Real Estate Finance|25.14|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/ari^c,
APO|Apollo Global Management, LLC|27.73|11346220321|n/a|2011|Finance|Investment Managers|https://www.nasdaq.com/symbol/apo,
APO^A|Apollo Global Management, LLC|24.5124|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/apo^a,
APO^B|Apollo Global Management, LLC|24.4458|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/apo^b,
AIY|Apollo Investment Corporation|25.31|0|n/a|2013|n/a|n/a|https://www.nasdaq.com/symbol/aiy,
AFT|Apollo Senior Floating Rate Fund Inc.|14.52|226120845.72|n/a|2011|n/a|n/a|https://www.nasdaq.com/symbol/aft,
AIF|Apollo Tactical Income Fund Inc.|14.4|208281974.4|n/a|2013|n/a|n/a|https://www.nasdaq.com/symbol/aif,
APLE|Apple Hospitality REIT, Inc.|15.71|3594035989.54|n/a|2015|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/aple,
AIT|Applied Industrial Technologies, Inc.|58.78|2277996034.58|n/a|n/a|Consumer Durables|Industrial Specialties|https://www.nasdaq.com/symbol/ait,
ATR|AptarGroup, Inc.|97.88|6148240975.84|n/a|n/a|Consumer Non-Durables|Plastic Products|https://www.nasdaq.com/symbol/atr,
APTV|Aptiv PLC|73.03|19241381411.73|n/a|2011|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/aptv,
WTR|Aqua America, Inc.|34.02|6053514683.58|n/a|n/a|Public Utilities|Water Supply|https://www.nasdaq.com/symbol/wtr,
AQ|Aquantia Corp.|8.75|304977426.25|n/a|2017|Technology|Semiconductors|https://www.nasdaq.com/symbol/aq,
WAAS|AquaVenture Holdings Limited|21.08|563492009.6|n/a|2016|Public Utilities|Water Supply|https://www.nasdaq.com/symbol/waas,
ARMK|Aramark|32|7916317344|n/a|2013|Consumer Services|Restaurants|https://www.nasdaq.com/symbol/armk,
ABR|Arbor Realty Trust|11.56|996040892.92|n/a|2004|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/abr,
